Rounding result: 
[[-6.08712841e-02+2.76894103e-01j  1.57859520e-01+1.05323235e-01j
   5.44915950e-02+2.68377280e-01j -1.85690772e-01+9.89323172e-02j
   6.74362170e-02+2.31044885e-01j  1.24409818e-01+2.24514779e-01j
  -5.09696179e-01-6.44901015e-02j -1.84891872e-01+1.05974417e-01j
   2.75201704e-02+1.78065376e-01j -2.98373724e-02-6.32228315e-02j
   5.46327852e-02+1.57570026e-01j  1.79845398e-01-1.28558642e-04j
  -1.34038582e-01+2.77849764e-01j  7.55171320e-02+2.04454078e-01j
  -1.16762816e-01-2.04742975e-01j -1.86994093e-01-2.16310522e-02j]
 [-1.87377792e-01-1.47090205e-01j  2.76602479e-01+3.68046189e-01j
  -8.46408502e-02+4.28943728e-02j  2.27214809e-02-1.17665025e-01j
   1.26833363e-01+3.03769727e-02j -8.26635599e-02-1.94068524e-01j
   1.47486776e-01+1.44438084e-01j -5.92607669e-01-1.93441534e-02j
   6.35419689e-02-1.01597952e-01j -2.36603644e-01+1.18413535e-02j
   1.33417615e-01-3.95522986e-02j  1.35415936e-01+1.95696458e-01j
   2.29806177e-01+4.29147680e-02j  5.92327715e-02-5.14070845e-02j
   7.25356515e-02+1.60541415e-01j -1.14320410e-01-2.92466569e-02j]
 [-5.41855830e-02-6.78502043e-02j  1.53511671e-01-6.96218672e-02j
  -1.75377570e-01-1.84526105e-01j -4.35310904e-01+3.15272158e-02j
   1.16252936e-01-4.79280062e-02j  1.09991250e-01-6.66582994e-02j
  -1.54690796e-01-9.49535251e-02j -1.29160263e-01-2.13924135e-02j
  -1.32037808e-01-8.64368576e-02j -8.03638941e-02-2.94964131e-01j
  -1.59256491e-01+1.43513899e-02j -2.23466788e-01+3.41987820e-02j
  -1.27863528e-01-2.14777502e-01j  1.93560390e-02-8.48153594e-02j
  -3.29375103e-01+1.57556066e-01j  1.14980723e-01+4.63346076e-01j]
 [-1.47884370e-01-1.20625770e-01j -6.62254641e-02-3.82082152e-02j
   2.21239280e-02+4.35948183e-01j -1.96075751e-01-2.80096233e-01j
  -1.79646406e-02-1.69627940e-01j  8.79094476e-02-7.87276125e-02j
   3.45288595e-05+9.33472550e-02j  1.97019523e-01-1.50884805e-01j
  -3.93857463e-01+5.53057227e-02j  1.53856813e-01-1.43641055e-01j
   1.65124842e-01-1.72210339e-01j  2.64914656e-01-8.84642483e-02j
   6.87809894e-02+4.56146992e-02j  2.99125228e-01+1.61570947e-01j
   9.60004588e-02+2.39844281e-01j  6.72181887e-02+7.68590175e-02j]
 [ 2.34173736e-01-6.09308620e-02j -2.14463660e-01+4.93672236e-02j
   2.07470999e-01+1.23029715e-01j  1.60065586e-01-8.67646395e-02j
  -2.32234476e-01-5.43101696e-01j  8.13530157e-02-5.25208485e-02j
  -1.21107054e-01-2.17060196e-01j -2.70414501e-01+1.45336126e-01j
  -1.05096846e-01-6.63949408e-02j -2.60915312e-01-1.20983915e-01j
   1.68745347e-01-1.32754364e-01j -4.31822922e-02-9.40831318e-02j
  -8.56277324e-02+1.29797348e-01j -2.50002431e-01-2.59879045e-03j
  -9.47825185e-02-1.35963686e-01j -5.26289389e-02+1.24423888e-01j]
 [-1.59135032e-01-4.01752355e-02j  2.83908139e-02-1.13203311e-02j
  -1.70163143e-01-1.54558380e-01j  2.19438166e-01-5.57911845e-03j
  -8.68831133e-02+8.53953011e-02j  2.60402181e-01+3.08194147e-01j
   1.72025446e-01+1.21973940e-01j -1.15944345e-02+6.64777053e-02j
  -1.53995264e-01+2.43521156e-01j  3.61586344e-02-3.10657295e-01j
  -2.00455981e-01+1.90306285e-02j  2.47230850e-01-1.12060334e-01j
   2.04814721e-01+2.85703268e-01j -3.61674401e-01-1.37701543e-01j
   1.11026682e-01+4.25822342e-02j  1.34883995e-02+2.48427476e-01j]
 [-3.26305798e-02-2.48317145e-01j  2.33298193e-01+6.28857123e-03j
  -2.54823481e-01+4.21709415e-01j  2.40334657e-02+1.19229730e-01j
  -2.94928720e-01+9.73558971e-02j  1.52799311e-01-1.98498897e-01j
  -5.99259389e-02+1.82668261e-01j  6.45236142e-02+4.39855667e-02j
   3.11322373e-01-8.82572256e-02j  1.58633380e-01-1.26725855e-01j
   3.01231075e-03-1.71803529e-01j -1.24944691e-01-2.14083016e-01j
  -2.49891576e-01-9.48610989e-02j -1.74870037e-01-2.17528076e-01j
   4.51966118e-02-4.68884878e-02j -1.73974280e-01-4.70929821e-02j]
 [ 1.82096019e-02-1.76033794e-01j  3.19397930e-03+8.70484551e-02j
   8.16451194e-02+7.84981877e-02j  1.29495079e-02+1.81689005e-01j
  -2.25291799e-02-1.21061356e-02j  4.36389311e-01+1.33065800e-01j
   2.65169733e-01-1.48795729e-01j -1.11250531e-01+1.04934195e-01j
  -1.22725057e-01-3.13311175e-01j -8.71278672e-02+1.05995462e-01j
  -4.46010492e-01+7.47841973e-02j  7.78445918e-02-1.63645357e-01j
  -1.00723870e-01+7.05389738e-02j  3.17134383e-01+4.73272897e-02j
